timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537456271.849376,2.443604,1.209362,-1.585899,0.185253,-1.551657,0.066524,0.227262,-0.935391,0.270919,0.102069,-0.198231,-0.016753,16.095280,-31.218769,25.508362,,,,,,,
1537456271.879243,2.410051,1.210882,-1.607606,0.008336,-2.013085,0.382149,0.235272,-0.935927,0.262084,0.076282,-0.206361,-0.000685,17.068916,-30.895201,25.140137,,,,,,,
1537456271.909110,2.376189,1.233075,-1.636492,-0.415608,-2.008224,0.898175,0.229560,-0.943512,0.238929,0.050988,-0.042084,0.042809,18.445398,-31.519609,23.564148,,,,,,,
1537456271.938978,2.352303,1.248203,-1.672348,0.259910,-1.791083,0.409530,0.225043,-0.948417,0.223298,0.138361,-0.237527,0.046310,19.205313,-31.987461,22.840515,,,,,,,
1537456271.968845,2.374015,1.246489,-1.740699,0.613832,-1.142978,0.605873,0.221270,-0.947872,0.229301,0.159070,-0.120152,0.176812,20.171402,-31.728817,22.206970,,,,,,,
1537456271.998712,2.418637,1.253119,-1.811080,0.156807,-0.530302,0.680727,0.206659,-0.949963,0.234225,0.113195,-0.141299,0.183484,20.143661,-31.839542,22.216064,,,,,,,
1537456272.028579,2.460046,1.260988,-1.865220,0.156509,-0.221568,0.591614,0.192070,-0.952392,0.236767,0.061027,0.007736,0.093144,20.059486,-31.789038,22.275757,,,,,,,
1537456272.058447,2.524470,1.283348,-1.923793,-0.638653,0.880928,1.283475,0.164063,-0.958970,0.231213,0.185440,-0.040923,0.101795,18.908833,-32.688843,22.863342,,,,,,,
1537456272.088314,2.571581,1.333666,-1.942618,-1.727278,1.205921,0.575230,0.126770,-0.972016,0.197773,-0.045089,0.426743,-0.223438,17.660160,-33.520645,22.731079,,,,,,,
1537456272.118180,2.592535,1.402798,-1.895342,-2.333292,2.912041,1.469671,0.087264,-0.985921,0.142632,0.102098,-0.104548,0.288245,14.847610,-35.997917,21.954163,,,,,,,
1537456272.148047,2.910899,1.483100,-2.127414,-1.813364,2.751753,1.991615,0.020027,-0.996157,0.085266,-0.053093,-0.090406,-0.047027,12.350721,-37.387337,21.619690,,,,,,,
1537456272.177915,-2.796410,1.528449,-2.660391,-1.519558,0.711313,0.426192,-0.014324,-0.999103,0.039836,-0.043934,-0.098415,-0.063029,8.916534,-39.199692,20.686890,,,,,,,
1537456272.207782,-1.195169,1.532138,2.054438,-1.861651,1.656850,1.332236,-0.035953,-0.999253,-0.014178,0.221256,-0.175170,0.198611,8.343987,-40.161278,19.873657,,,,,,,
1537456272.237649,-0.956633,1.458450,1.883494,-1.175572,2.390383,2.071669,-0.091622,-0.993696,-0.064606,-0.070380,0.094022,-0.076279,4.279518,-41.727139,18.709778,,,,,,,
1537456272.267516,-0.999611,1.406783,1.992847,-0.169387,1.951170,1.332307,-0.137360,-0.986580,-0.088274,-0.015136,0.196571,-0.069258,1.735966,-42.365807,18.445007,,,,,,,
1537456272.297384,-1.069206,1.391027,2.110290,0.673940,1.168789,0.560456,-0.156777,-0.983885,-0.085972,0.115426,0.226561,-0.170208,-1.396711,-42.267326,18.791077,,,,,,,
1537456272.327251,-1.209642,1.393993,2.292087,1.096291,1.157413,0.028555,-0.164537,-0.984411,-0.062149,-0.011076,0.054388,-0.077667,-2.460346,-41.575607,19.482544,,,,,,,
1537456272.357118,-1.352550,1.414735,2.462863,1.150466,0.411558,-0.617867,-0.151741,-0.987847,-0.033653,-0.064735,-0.053001,-0.080651,-3.672285,-40.371712,20.980164,,,,,,,
1537456272.386985,-1.599317,1.443931,2.715406,1.260701,0.071716,-0.921395,-0.126475,-0.991963,0.003608,0.006769,-0.011561,-0.025566,-3.536583,-39.988426,21.837219,,,,,,,
1537456272.416853,-1.849183,1.456673,2.976312,0.715551,0.319029,-0.265909,-0.109491,-0.993495,0.031293,-0.042212,-0.126698,0.007586,-2.928839,-38.529686,23.392090,,,,,,,
1537456272.446720,-1.958172,1.454065,3.088389,0.310044,-0.266276,-0.056635,-0.107836,-0.993195,0.043996,-0.175107,-0.080887,-0.106679,-3.040205,-38.394398,23.813782,,,,,,,
1537456272.476587,-2.092776,1.455931,-3.080705,0.393619,-0.871927,-0.325851,-0.099350,-0.993410,0.057145,-0.008622,0.021502,-0.091569,-2.451010,-37.994961,24.328796,,,,,,,
1537456272.506454,-2.217418,1.458761,-2.977422,0.188826,-0.662099,-0.220963,-0.089231,-0.993731,0.067359,0.042386,-0.046583,-0.030524,-1.743322,-37.877831,24.808411,,,,,,,
1537456272.536322,-2.237242,1.459683,-2.971216,-0.156552,-0.430515,0.075305,-0.087158,-0.993833,0.068549,0.050079,0.029478,0.037820,-0.889694,-37.729866,25.245911,,,,,,,
1537456272.566189,-2.183573,1.462367,-3.033862,-0.208957,-0.222180,-0.014855,-0.088528,-0.994127,0.062240,0.029736,0.104937,0.031037,-0.783052,-37.813812,24.981995,,,,,,,
1537456272.596056,-2.227261,1.463818,-2.997513,0.302113,-0.317931,-0.094408,-0.084583,-0.994283,0.065167,-0.073254,0.025777,-0.059064,-0.595238,-38.106831,24.927490,,,,,,,
1537456272.625923,-2.275051,1.449447,-2.952460,0.428154,0.009079,0.465074,-0.092253,-0.992646,0.078377,-0.036882,-0.052459,0.030617,-0.447210,-37.605453,25.511536,,,,,,,
1537456272.655791,-2.298348,1.434099,-2.931130,0.495000,-0.380135,0.081170,-0.101768,-0.990672,0.090627,-0.153755,-0.094045,-0.000539,-0.681643,-37.376614,25.636108,,,,,,,
1537456272.685658,-2.456813,1.419651,-2.792121,1.046135,-0.731450,-0.131089,-0.095234,-0.988599,0.116623,-0.095440,-0.083193,0.109436,0.225355,-36.546677,26.430359,,,,,,,
1537456272.715525,-2.527093,1.381484,-2.717684,1.344756,0.720481,0.910400,-0.108496,-0.982134,0.153756,0.055502,-0.166227,0.205527,0.369366,-36.026367,27.094360,,,,,,,
1537456272.745392,-2.460979,1.347054,-2.770633,-0.997099,-0.366041,0.513955,-0.139623,-0.975074,0.172443,-0.062785,0.115790,-0.234958,-0.902094,-34.858673,27.972412,,,,,,,
1537456272.775260,-2.408405,1.352139,-2.845280,-0.681758,-1.024645,0.215816,-0.145172,-0.976190,0.161181,0.021118,0.010751,-0.112109,-0.512201,-35.376808,27.789490,,,,,,,
1537456272.805127,-2.322676,1.361993,-2.959874,-0.728431,-0.770434,0.486033,-0.151405,-0.978280,0.141581,0.057731,0.016762,-0.118265,0.626310,-36.449646,26.889526,,,,,,,
1537456272.834994,-2.201186,1.350345,-3.090048,-0.323042,0.130927,1.161494,-0.176641,-0.975799,0.128897,0.105687,0.160110,-0.055456,0.753925,-36.707275,26.477356,,,,,,,
1537456272.864861,-2.101955,1.330232,3.095488,-0.250757,-0.031220,0.686667,-0.205424,-0.971204,0.120681,0.060633,-0.022006,-0.037139,-0.152285,-36.991554,25.898682,,,,,,,
1537456272.894729,-2.046571,1.321117,3.036063,-0.300811,-0.060774,0.485036,-0.219650,-0.968992,0.113175,0.080399,-0.054690,0.084212,-0.351259,-37.075970,25.519226,,,,,,,
1537456272.924596,-1.973788,1.317013,2.966814,-0.567478,0.304522,0.231077,-0.230956,-0.967969,0.098462,0.159102,-0.093798,0.073504,-0.688255,-38.006943,24.981262,,,,,,,
1537456272.954463,-1.904720,1.305981,2.916948,0.056203,0.831732,0.614903,-0.247274,-0.965141,0.085783,0.062521,0.089057,-0.137846,-1.081699,-38.105698,24.652100,,,,,,,
1537456272.984330,-1.913010,1.291287,2.941739,0.340047,0.186727,0.188827,-0.259886,-0.961191,0.092579,0.046003,0.043283,-0.146031,-2.394939,-37.684864,24.695740,,,,,,,
